queue_length,hop_count,packet_drop_ratio,round_trip_time,bandwidth_utilization,inter_arrival_time,congestion_label
88,2,0.129,102,0.448,0.0309,1
96,8,0.114,124,0.348,0.0076,1
64,5,0.071,195,0.692,0.0378,1
75,3,0.197,76,0.734,0.0332,1
48,6,0.121,65,0.703,0.0479,1
12,3,0.047,49,0.601,0.0044,0
51,6,0.02,107,0.547,0.0038,0
39,4,0.031,49,0.861,0.0148,1
82,6,0.049,100,0.637,0.0138,1
85,9,0.032,42,0.611,0.0131,1
40,5,0.037,15,0.317,0.0454,0
54,2,0.057,156,0.522,0.0132,0
8,6,0.035,89,0.547,0.0143,0
6,6,0.179,177,0.559,0.0382,1
10,2,0.016,101,0.677,0.023,0
58,5,0.105,106,0.647,0.0391,1
8,3,0.082,68,0.695,0.0042,0
58,6,0.196,68,0.797,0.0249,1
97,2,0.022,57,0.828,0.0026,1
67,9,0.08,178,0.767,0.0041,1
22,9,0.194,22,0.921,0.0454,1
94,4,0.173,116,0.312,0.0078,1
48,2,0.163,54,0.427,0.0271,1
38,4,0.052,98,0.305,0.0211,0
78,9,0.034,190,0.721,0.018,1
66,5,0.134,179,0.884,0.0451,1
18,3,0.186,109,0.458,0.0021,1
99,2,0.111,164,0.903,0.0335,1
52,8,0.114,175,0.339,0.0482,1
19,9,0.056,197,0.907,0.0284,1
76,9,0.154,16,0.529,0.0469,1
82,8,0.037,142,0.366,0.0036,1
91,7,0.065,54,0.616,0.0215,1
66,9,0.085,67,0.467,0.0137,1
44,6,0.102,40,0.485,0.0368,1
89,5,0.048,32,0.5,0.0491,1
84,2,0.023,179,0.822,0.0136,1
86,8,0.122,147,0.65,0.0331,1
57,6,0.058,169,0.502,0.0107,0
28,8,0.116,116,0.697,0.0287,1
30,2,0.031,190,0.765,0.0237,0
93,4,0.096,167,0.477,0.0486,1
64,2,0.107,48,0.569,0.0308,1
45,7,0.01,168,0.379,0.0181,0
33,2,0.067,91,0.418,0.0066,0
19,2,0.027,109,0.743,0.0084,0
49,7,0.013,11,0.418,0.012,0
69,5,0.198,86,0.641,0.0133,1
93,9,0.064,21,0.761,0.0427,1
75,2,0.162,48,0.369,0.0285,1
13,7,0.051,22,0.669,0.0266,0
92,6,0.136,55,0.467,0.0066,1
5,4,0.152,164,0.926,0.0431,1
12,4,0.119,122,0.614,0.0364,1
92,2,0.094,26,0.824,0.0043,1
67,5,0.082,113,0.658,0.0357,1
15,5,0.07,107,0.328,0.0276,0
85,6,0.186,197,0.712,0.005,1
12,2,0.166,97,0.918,0.0235,1
39,4,0.193,118,0.691,0.0248,1
39,5,0.025,172,0.832,0.0091,0
37,2,0.146,79,0.875,0.0473,1
9,8,0.188,167,0.448,0.0426,1
45,5,0.036,83,0.438,0.0338,0
32,7,0.013,72,0.697,0.0237,0
11,8,0.148,165,0.567,0.0212,1
77,9,0.115,69,0.846,0.0329,1
76,5,0.168,88,0.885,0.0277,1
16,4,0.028,46,0.53,0.0041,0
38,3,0.159,31,0.454,0.0261,1
37,8,0.04,157,0.807,0.0405,0
52,9,0.033,105,0.479,0.0235,0
27,6,0.033,77,0.835,0.0035,0
66,6,0.163,26,0.575,0.0395,1
92,4,0.133,21,0.734,0.0109,1
41,5,0.105,159,0.362,0.0137,1
48,2,0.072,154,0.706,0.0091,0
90,5,0.175,147,0.594,0.0172,1
95,4,0.078,127,0.681,0.0381,1
39,6,0.163,31,0.409,0.0264,1
69,5,0.088,129,0.779,0.011,1
51,6,0.075,59,0.861,0.044,1
82,8,0.093,23,0.441,0.0441,1
7,9,0.06,184,0.362,0.0437,0
5,2,0.15,38,0.315,0.0127,1
9,8,0.101,173,0.717,0.0231,1
94,6,0.046,189,0.695,0.0493,1
18,6,0.18,134,0.655,0.0388,1
31,3,0.077,16,0.451,0.0023,0
13,3,0.109,38,0.554,0.0042,1
83,8,0.181,148,0.686,0.0237,1
19,7,0.125,42,0.623,0.0456,1
94,8,0.023,143,0.942,0.0274,1
46,3,0.188,120,0.389,0.0254,1
81,6,0.126,88,0.752,0.0062,1
55,4,0.067,169,0.563,0.0332,0
67,8,0.028,188,0.578,0.0413,1
56,6,0.159,67,0.766,0.0196,1
8,4,0.124,35,0.75,0.039,1
98,4,0.107,183,0.944,0.0483,1
27,3,0.179,38,0.383,0.011,1
19,8,0.158,13,0.368,0.0266,1
47,5,0.03,108,0.771,0.0151,0
33,2,0.062,150,0.676,0.0398,0
40,3,0.05,48,0.478,0.0293,0
17,3,0.149,24,0.352,0.0321,1
36,5,0.007,128,0.356,0.0401,0
75,2,0.114,38,0.881,0.0204,1
63,6,0.152,166,0.425,0.0458,1
90,7,0.175,84,0.51,0.0271,1
32,8,0.068,125,0.447,0.0087,0
70,7,0.164,41,0.531,0.0351,1
46,6,0.022,139,0.345,0.0399,0
49,9,0.169,184,0.637,0.0165,1
66,3,0.025,93,0.344,0.043,1
61,2,0.079,31,0.82,0.0454,1
10,3,0.159,36,0.452,0.0146,1
32,4,0.03,90,0.651,0.0492,0
32,3,0.046,135,0.872,0.0079,1
48,3,0.144,193,0.723,0.0109,1
88,6,0.144,101,0.646,0.01,1
34,6,0.128,30,0.511,0.0448,1
66,6,0.139,56,0.516,0.0331,1
79,7,0.109,110,0.735,0.0085,1
96,4,0.05,196,0.946,0.0226,1
93,9,0.069,93,0.73,0.0311,1
66,9,0.036,15,0.663,0.0051,1
5,6,0.182,156,0.775,0.0442,1
31,2,0.117,194,0.602,0.0404,1
66,7,0.08,140,0.339,0.0258,1
81,5,0.092,10,0.665,0.0484,1
7,2,0.189,67,0.922,0.0215,1
74,8,0.031,133,0.414,0.0492,1
76,8,0.117,175,0.749,0.0337,1
31,2,0.101,24,0.431,0.0321,1
13,6,0.122,171,0.648,0.0091,1
66,5,0.004,198,0.363,0.0442,1
41,5,0.174,172,0.593,0.0219,1
55,7,0.186,73,0.792,0.0089,1
48,5,0.113,34,0.526,0.0016,1
28,8,0.139,33,0.732,0.0284,1
83,4,0.184,21,0.817,0.0268,1
63,6,0.141,27,0.903,0.0362,1
36,5,0.031,24,0.453,0.0446,0
92,7,0.115,36,0.56,0.0049,1
56,8,0.121,81,0.399,0.0368,1
66,4,0.085,69,0.945,0.0102,1
62,3,0.147,183,0.903,0.0431,1
56,3,0.187,154,0.651,0.0411,1
16,4,0.185,102,0.847,0.0275,1
43,8,0.09,62,0.639,0.0358,0
6,7,0.023,17,0.705,0.0164,0
7,4,0.197,88,0.358,0.0241,1
60,6,0.168,36,0.791,0.0413,1
85,6,0.025,183,0.383,0.0235,1
63,3,0.184,59,0.837,0.0185,1
6,5,0.174,140,0.808,0.0252,1
6,7,0.104,102,0.761,0.0416,1
96,3,0.118,181,0.324,0.0174,1
58,5,0.08,190,0.497,0.0095,0
91,5,0.011,33,0.471,0.0359,1
5,9,0.067,69,0.534,0.0415,0
23,6,0.161,131,0.357,0.0059,1
6,8,0.001,140,0.909,0.0128,1
57,2,0.067,157,0.66,0.008,0
48,8,0.08,55,0.499,0.018,0
94,2,0.107,24,0.558,0.0231,1
36,4,0.184,162,0.591,0.0377,1
74,6,0.069,26,0.69,0.0329,1
36,5,0.069,135,0.635,0.0314,0
72,7,0.148,93,0.898,0.0183,1
59,2,0.09,18,0.623,0.0422,0
79,8,0.045,175,0.945,0.0241,1
60,5,0.09,185,0.853,0.049,1
21,2,0.028,197,0.436,0.0321,0
42,2,0.035,72,0.905,0.0072,1
28,9,0.1,126,0.376,0.0341,0
73,2,0.084,139,0.831,0.0169,1
74,7,0.183,97,0.547,0.0346,1
90,6,0.072,81,0.871,0.0044,1
15,7,0.116,148,0.864,0.0096,1
20,3,0.126,73,0.824,0.0429,1
77,5,0.003,81,0.814,0.0121,1
63,6,0.133,30,0.498,0.042,1
74,9,0.036,27,0.353,0.0147,1
84,6,0.192,73,0.562,0.0325,1
97,6,0.03,91,0.413,0.035,1
7,8,0.083,119,0.752,0.0261,0
24,6,0.017,104,0.525,0.016,0
63,9,0.199,175,0.934,0.0114,1
40,7,0.1,41,0.717,0.0026,0
23,6,0.119,20,0.835,0.0159,1
94,4,0.013,54,0.386,0.033,1
71,5,0.15,42,0.86,0.047,1
23,6,0.042,111,0.9,0.0437,1
24,5,0.18,178,0.617,0.0385,1
75,4,0.041,145,0.694,0.0396,1
56,4,0.038,20,0.797,0.0336,0
37,5,0.007,188,0.414,0.0138,0
44,2,0.094,97,0.627,0.0455,0
43,3,0.113,50,0.559,0.0339,1
86,8,0.013,154,0.395,0.0285,1
5,2,0.155,85,0.539,0.0064,1
15,2,0.091,130,0.344,0.0229,0
96,7,0.105,55,0.317,0.0236,1
61,8,0.088,169,0.388,0.0434,1
93,8,0.08,89,0.926,0.0278,1
54,2,0.112,63,0.657,0.0196,1
27,6,0.031,95,0.928,0.0489,1
35,7,0.036,101,0.581,0.0064,0
98,7,0.172,157,0.503,0.0217,1
46,4,0.189,170,0.629,0.0031,1
11,9,0.075,177,0.586,0.0373,0
20,8,0.054,169,0.369,0.046,0
94,2,0.129,106,0.717,0.0147,1
64,4,0.082,11,0.44,0.0431,1
6,5,0.005,42,0.703,0.0153,0
5,3,0.031,167,0.723,0.0456,0
52,9,0.143,170,0.399,0.0379,1
16,9,0.132,86,0.34,0.0404,1
73,9,0.005,125,0.807,0.0019,1
41,7,0.044,163,0.599,0.0482,0
36,5,0.046,159,0.338,0.0366,0
13,9,0.134,112,0.947,0.0159,1
23,5,0.004,175,0.338,0.0416,0
52,6,0.021,112,0.752,0.0148,0
84,9,0.16,99,0.939,0.0438,1
7,3,0.036,183,0.455,0.0065,0
24,5,0.131,131,0.392,0.0355,1
28,5,0.048,152,0.379,0.0275,0
58,3,0.02,115,0.497,0.0057,0
37,9,0.049,128,0.366,0.0129,0
28,3,0.144,181,0.75,0.0016,1
79,5,0.171,58,0.34,0.024,1
76,3,0.166,113,0.631,0.0158,1
40,5,0.079,70,0.948,0.0303,1
42,5,0.134,132,0.829,0.0156,1
88,6,0.041,143,0.7,0.0157,1
93,2,0.059,18,0.499,0.0374,1
29,5,0.179,15,0.706,0.0034,1
97,9,0.003,82,0.643,0.0452,1
22,4,0.017,112,0.577,0.0428,0
86,7,0.042,169,0.385,0.0337,1
70,8,0.005,50,0.876,0.0301,1
58,2,0.036,123,0.592,0.0447,0
39,2,0.117,17,0.427,0.0101,1
84,2,0.084,81,0.539,0.0049,1
65,6,0.179,187,0.569,0.0127,1
45,5,0.163,101,0.838,0.0399,1
37,6,0.068,71,0.777,0.0027,0
72,5,0.052,93,0.8,0.0296,1
37,9,0.076,71,0.307,0.0498,0
18,6,0.118,120,0.571,0.0429,1
25,6,0.054,136,0.613,0.0266,0
52,7,0.125,16,0.312,0.0041,1
24,4,0.082,93,0.469,0.0417,0
12,6,0.11,141,0.794,0.0303,1
11,7,0.087,143,0.389,0.0066,0
71,3,0.059,67,0.648,0.0056,1
21,4,0.19,31,0.44,0.0456,1
37,9,0.153,163,0.308,0.0338,1
52,6,0.028,136,0.457,0.0416,0
80,8,0.174,12,0.934,0.0441,1
63,2,0.097,136,0.821,0.029,1
90,3,0.179,50,0.924,0.0264,1
26,3,0.16,197,0.617,0.0221,1
34,9,0.085,115,0.371,0.0165,0
42,7,0.004,23,0.656,0.0223,0
55,3,0.054,21,0.595,0.0389,0
58,4,0.108,96,0.849,0.0305,1
12,6,0.127,21,0.364,0.0447,1
31,6,0.052,150,0.617,0.0227,0
31,8,0.028,34,0.398,0.0307,0
25,9,0.167,54,0.511,0.0319,1
34,2,0.197,131,0.779,0.03,1
32,7,0.105,156,0.609,0.0354,1
68,2,0.034,64,0.544,0.0126,1
73,3,0.054,109,0.556,0.0261,1
65,9,0.004,182,0.599,0.0061,1
52,8,0.183,145,0.81,0.0198,1
23,2,0.024,128,0.88,0.0249,1
8,4,0.115,62,0.921,0.033,1
39,6,0.055,192,0.811,0.0476,0
68,3,0.111,41,0.505,0.0304,1
53,8,0.13,60,0.747,0.0374,1
21,2,0.166,53,0.584,0.0258,1
48,7,0.041,91,0.466,0.0321,0
96,4,0.002,155,0.847,0.0045,1
34,4,0.027,159,0.325,0.0135,0
97,2,0.18,46,0.886,0.0187,1
50,6,0.175,105,0.6,0.0242,1
10,2,0.119,65,0.714,0.0032,1
41,3,0.12,114,0.729,0.0079,1
28,2,0.133,68,0.882,0.0146,1
97,4,0.035,140,0.714,0.0486,1
50,8,0.183,165,0.699,0.0172,1
57,2,0.084,44,0.343,0.0246,0
99,6,0.077,198,0.637,0.0106,1
64,9,0.104,102,0.398,0.0309,1
67,8,0.009,191,0.779,0.0148,1
89,7,0.033,106,0.633,0.0111,1
36,5,0.148,144,0.742,0.0263,1
91,2,0.017,85,0.327,0.0013,1
37,6,0.121,58,0.355,0.0014,1
71,8,0.049,103,0.766,0.0117,1
22,6,0.078,168,0.347,0.0028,0
29,7,0.058,195,0.346,0.0063,0
99,4,0.071,198,0.308,0.0176,1
58,6,0.144,33,0.922,0.0403,1
62,8,0.059,157,0.779,0.029,1
71,6,0.113,46,0.53,0.0261,1
50,6,0.095,13,0.493,0.0154,0
28,6,0.133,117,0.527,0.0467,1
36,3,0.187,135,0.804,0.0205,1
51,3,0.147,29,0.73,0.0053,1
90,4,0.043,197,0.42,0.0312,1
27,2,0.006,161,0.413,0.0066,0
70,6,0.052,59,0.364,0.0179,1
31,7,0.119,186,0.729,0.0259,1
6,2,0.01,188,0.797,0.0438,0
94,7,0.099,105,0.472,0.0252,1
21,2,0.119,114,0.314,0.0354,1
37,4,0.067,173,0.353,0.0496,0
13,6,0.154,126,0.929,0.0074,1
47,6,0.021,107,0.492,0.0145,0
52,5,0.015,75,0.8,0.0203,0
43,7,0.146,88,0.706,0.0217,1
97,2,0.099,171,0.548,0.0211,1
46,2,0.138,173,0.434,0.0455,1
30,9,0.087,15,0.379,0.036,0
54,9,0.049,48,0.7,0.0308,0
29,3,0.164,179,0.804,0.0162,1
28,5,0.16,124,0.719,0.0414,1
17,8,0.139,195,0.645,0.0478,1
64,9,0.054,134,0.327,0.0412,1
11,8,0.118,21,0.93,0.0011,1
61,3,0.072,140,0.819,0.0322,1
40,3,0.018,27,0.49,0.0035,0
49,3,0.183,49,0.937,0.0136,1
24,7,0.027,30,0.691,0.0039,0
69,7,0.19,152,0.679,0.0306,1
12,4,0.089,108,0.786,0.0346,0
20,4,0.037,35,0.828,0.0066,0
18,3,0.108,17,0.727,0.0198,1
80,5,0.175,109,0.383,0.0234,1
91,2,0.146,96,0.52,0.0191,1
19,7,0.161,51,0.903,0.0069,1
96,5,0.132,181,0.446,0.0215,1
70,6,0.138,23,0.542,0.0378,1
36,7,0.17,87,0.581,0.0045,1
91,7,0.05,11,0.586,0.0049,1
67,4,0.098,128,0.698,0.0184,1
90,2,0.044,46,0.913,0.0471,1
55,2,0.198,78,0.456,0.0338,1
29,9,0.189,175,0.379,0.0343,1
62,8,0.008,50,0.428,0.0187,1
67,8,0.141,71,0.877,0.0301,1
66,8,0.185,69,0.72,0.0015,1
26,8,0.036,134,0.486,0.0322,0
62,6,0.114,120,0.83,0.0458,1
62,6,0.183,23,0.86,0.031,1
90,7,0.007,93,0.85,0.0438,1
53,3,0.139,139,0.897,0.0365,1
56,4,0.059,79,0.464,0.0069,0
46,4,0.185,154,0.791,0.0452,1
74,8,0.194,132,0.599,0.0043,1
19,7,0.189,98,0.847,0.0272,1
58,9,0.095,37,0.774,0.008,0
64,5,0.172,75,0.805,0.0016,1
12,3,0.169,172,0.727,0.0217,1
57,7,0.064,14,0.415,0.0155,0
64,3,0.166,177,0.654,0.0248,1
9,3,0.007,193,0.94,0.0293,1
72,3,0.119,173,0.909,0.0031,1
10,7,0.046,54,0.328,0.007,0
98,8,0.024,160,0.407,0.0284,1
51,4,0.015,56,0.386,0.0178,0
59,4,0.139,40,0.772,0.0367,1
44,8,0.068,148,0.832,0.033,0
56,3,0.145,19,0.439,0.0424,1
20,5,0.013,127,0.629,0.0349,0
17,2,0.063,23,0.846,0.0221,0
34,7,0.108,89,0.776,0.034,1
23,2,0.158,102,0.652,0.0145,1
21,9,0.064,19,0.684,0.016,0
67,8,0.125,85,0.63,0.0397,1
23,5,0.177,103,0.493,0.0229,1
96,7,0.123,114,0.667,0.0401,1
62,8,0.047,10,0.748,0.0413,1
59,3,0.005,142,0.868,0.043,1
94,4,0.174,29,0.714,0.0459,1
94,2,0.004,17,0.795,0.0221,1
66,6,0.175,180,0.404,0.0166,1
27,6,0.106,10,0.6,0.0295,1
13,5,0.188,66,0.306,0.0192,1
16,3,0.16,73,0.46,0.0305,1
5,9,0.2,127,0.772,0.0356,1
62,2,0.07,37,0.945,0.0347,1
5,3,0.153,130,0.364,0.0194,1
38,2,0.08,116,0.561,0.0092,0
52,5,0.096,174,0.82,0.0221,0
93,5,0.126,184,0.433,0.008,1
5,9,0.175,174,0.661,0.0446,1
20,6,0.197,58,0.776,0.0179,1
65,3,0.154,129,0.7,0.0086,1
68,7,0.084,53,0.422,0.0022,1
67,6,0.084,65,0.531,0.0326,1
73,3,0.148,165,0.809,0.0322,1
26,6,0.048,120,0.66,0.0177,0
97,7,0.022,143,0.303,0.0045,1
71,4,0.071,117,0.795,0.0211,1
80,4,0.057,198,0.323,0.0162,1
30,9,0.059,157,0.785,0.0342,0
20,4,0.047,123,0.432,0.0307,0
55,4,0.008,87,0.923,0.0189,1
90,8,0.004,139,0.539,0.0117,1
61,2,0.198,46,0.513,0.0494,1
33,8,0.086,29,0.397,0.0232,0
82,8,0.077,35,0.499,0.0347,1
96,9,0.136,38,0.87,0.0079,1
73,8,0.044,10,0.948,0.0248,1
51,4,0.19,128,0.539,0.0023,1
98,7,0.157,44,0.592,0.0258,1
66,9,0.018,68,0.769,0.0482,1
73,9,0.084,78,0.876,0.0198,1
80,5,0.176,170,0.685,0.0029,1
20,9,0.189,188,0.554,0.0025,1
94,5,0.093,21,0.568,0.02,1
94,9,0.123,29,0.752,0.0088,1
52,2,0.033,190,0.302,0.0021,0
89,4,0.198,52,0.703,0.0381,1
43,9,0.046,135,0.531,0.0235,0
37,4,0.189,59,0.816,0.0152,1
98,4,0.13,38,0.36,0.0451,1
27,6,0.122,194,0.682,0.0067,1
14,9,0.103,48,0.613,0.0478,1
73,3,0.046,193,0.718,0.0164,1
38,6,0.035,180,0.342,0.0445,0
56,3,0.044,187,0.677,0.0305,0
99,4,0.037,160,0.665,0.0415,1
14,4,0.156,181,0.664,0.0492,1
23,6,0.07,47,0.692,0.0151,0
